cf,El,capex[USD],lcoh[USD/kg],FOM_PV[USD],FOM_WIND[USD],FOM_EL[USD],FOM_UG[USD],H_total[kg],pv_capacity[kW],wind_capacity[kW],el_capacity[kW],ug_capcaity[kgH2],pipe_storage_capacity[kgH2],bat_e_capacity[kWh],bat_p_capacity[kW],pv_cost[USD],wind_cost[USD],el_cost[USD],ug_storage_cost[USD],pipe_storage_cost[USD],bat_cost[USD],load[kg/s],C_trans[USD],C_pipe[USD]
100,User,1975896149.616817,2.925821472078454,0.0,13929685.92229659,24275665.85243322,2375089.98291074,66698640.00000054,0.0,746900.0494529005,649081.9746639899,2305912.604767709,0.0,0.0,0.0,0.0,1086739571.9539702,692570466.9664772,95649254.84576456,0.0,0.0,2.115,86709375.07918893,0.0
100,User,1933146847.979971,2.873485570424058,0.0,13770982.81200333,24000390.87313678,2662472.181895589,66698640.00000054,0.0,738390.4993031279,641721.681099914,2584924.44844232,0.0,0.0,0.0,0.0,1074358176.486051,684717033.7336082,107222666.12138742,0.0,0.0,2.115,50589796.85822171,0.0
100,User,1981282009.92976,2.947421731033307,0.0,14056381.46986792,24495422.81983104,3048027.18684691,66698640.00000054,0.0,753693.3764004249,654957.8294072471,2959249.695967873,0.0,0.0,0.0,0.0,1096623862.6626182,698840003.9775327,122749677.38874736,0.0,0.0,2.115,55611156.66702263,0.0
100,User,2114022567.511437,3.133462755923001,0.0,14771392.07833449,25735628.69908988,3117635.850188364,66698640.00000054,0.0,792031.7468275864,688118.4144141681,3026830.922512975,0.0,0.0,0.0,0.0,1152406191.6341383,734222348.1799173,125552946.6658382,0.0,0.0,2.115,99328811.36585777,0.0
100,User,2317580718.135867,3.418346840447864,0.0,15899752.21703195,27692800.88837408,3109798.428951377,66698640.00000054,0.0,852533.630940051,740449.2216142802,3019221.775680948,0.0,0.0,0.0,0.0,1240436433.0177743,790059319.462437,125237319.25524572,0.0,0.0,2.115,160730534.343408,0.0
100,User,2178486490.517893,3.167305820009773,0.0,13859717.55225963,24154303.75954329,2825120.523946631,66698640.00000054,0.0,743148.3942230365,645836.9989182699,2742835.460142361,0.0,0.0,7.379646134005888e-14,0.0,1081280913.5945182,689108077.845794,113772814.88670513,0.0,1.446410642265154e-11,2.115,288509873.0153736,0.0
100,User,2082317936.800343,3.039100457338024,0.0,13715953.32944468,23904940.69800136,2190074.829935752,66698640.00000054,0.0,735439.8568066852,639169.5373797156,2126286.24265607,0.0,0.0,0.0,0.0,1070064991.6537269,681993896.3841566,88198353.34537376,0.0,0.0,2.115,237829385.7942,0.0
100,User,2059748038.309872,3.019236601507142,0.0,13734970.63932581,23937926.75337311,2578748.384900615,66698640.00000054,0.0,736459.5517064779,640051.5174698693,2503639.208641374,0.0,0.0,0.0,0.0,1071548647.7329253,682934969.1403506,103850954.37444419,0.0,0.0,2.115,191999783.6376609,0.0
100,User,2024118200.966763,2.979775038402344,0.0,13689687.44158349,23859381.78158297,2857749.208857453,66698640.00000054,0.0,734031.4982082301,637951.3845343039,2774513.795007236,0.0,0.0,0.0,0.0,1068015829.8929749,680694127.2981023,115086832.21690014,0.0,0.0,2.115,146088155.7903981,0.0
100,User,1966229565.408297,2.904225272500387,0.0,13421372.67050292,23393982.31387469,3080834.791192425,66698640.00000054,0.0,719644.6472119531,625507.5484993232,2991101.739021772,0.0,0.0,0.0,0.0,1047082961.6933917,667416554.2487779,124070900.1346231,0.0,0.0,2.115,107020547.3322543,0.0
