cf,El,capex[USD],lcoh[USD/kg],FOM_PV[USD],FOM_WIND[USD],FOM_EL[USD],FOM_UG[USD],H_total[kg],pv_capacity[kW],wind_capacity[kW],el_capacity[kW],ug_capcaity[kgH2],pipe_storage_capacity[kgH2],bat_e_capacity[kWh],bat_p_capacity[kW],pv_cost[USD],wind_cost[USD],el_cost[USD],ug_storage_cost[USD],pipe_storage_cost[USD],bat_cost[USD],load[kg/s],C_trans[USD],C_pipe[USD],LCOH-wind,LCOH-el,LCOH-UG,LCOH-pipe-storage,LCOH-trans,LCOH-pipe
100,User,2637549752.917231,3.703155878478512,0.0,14804844.92725028,25863754.58296481,0.0,66698640.00000054,0.0,793825.4652681117,691544.2401862248,0.0,1077065.919444408,0.0,0.0,0.0,1155016051.9651024,737877704.2787019,0.0,555766014.4333146,0.0,2.115,188889982.2401116,0.0,1.5766132586058228,1.253181561583471,0.0,0.6518236564198778,0.2215374018693413,0.0
100,User,2602895833.117596,3.670888104170931,0.0,15008212.24013725,26219033.02705199,0.0,66698640.00000054,0.0,804729.8788277347,701043.6638249196,0.0,1061947.964280818,0.0,-3.272354698569035e-11,0.0,1170881973.694354,748013589.3011892,0.0,547965149.568902,-6.413815209195308e-09,2.115,136035120.5531502,0.0,1.5982704663266865,1.2703959375523557,0.0,0.6426745034902166,0.1595471968016726,0.0
100,User,2544800465.878418,3.627915499608188,0.0,15619209.11460145,27286431.7934527,0.0,66698640.00000054,0.0,837491.1053405603,729583.7377928528,0.0,900137.7708024743,0.0,0.0,0.0,1218549558.2705152,778465848.2249739,0.0,464471089.73407674,0.0,2.115,83313969.64885296,0.0,1.6633373939426508,1.3221148188392724,0.0,0.5447494739679121,0.09771381285835383,0.0
100,User,2515847692.074978,3.605488326806286,0.0,15899159.75362742,27775499.70728031,0.0,66698640.00000054,0.0,852501.863465277,742660.4199807569,0.0,884723.0929842428,0.0,0.0,0.0,1240390211.341978,792418668.1194676,0.0,456517115.9798693,0.0,2.115,26521696.63366301,0.0,1.6931501945097884,1.3458117221641492,0.0,0.5354207490712994,0.031105661061049433,0.0
100,User,2591005125.79528,3.686074469127063,0.0,15715564.14687846,27454762.02047582,0.0,66698640.00000054,0.0,842657.595006888,734084.5460020273,0.0,1070465.82288565,0.0,0.0,0.0,1226066800.735022,783268210.5841632,0.0,552360364.6089954,0.0,2.115,29309749.86709933,0.0,1.6735985363029946,1.3302709562664918,0.0,0.6478293799378283,0.034375596619748094,0.0
100,User,2880548497.617009,3.992011619794565,0.0,14898508.0988908,26027382.18573109,0.0,66698640.00000054,0.0,798847.6192434748,695919.3097789063,0.0,1301657.026684877,0.0,0.0,0.0,1162323285.999256,742545903.534093,0.0,671655025.7693965,0.0,2.115,304024282.3142638,0.0,1.5865877364863517,1.2611098418374087,0.0,0.7877427251398192,0.3565713163309859,0.0
100,User,2723595723.336325,3.798620479143321,0.0,14672432.25270945,25632432.40871532,0.0,66698640.00000054,0.0,786725.5899576115,685359.155313244,0.0,1165707.742502321,0.0,0.0,0.0,1144685733.3883247,731278218.7192314,0.0,601505195.1311977,0.0,2.115,246126576.0975712,0.0,1.5625122275369818,1.2419732630116234,0.0,0.7054683184356785,0.28866667015903696,0.0
100,User,2673494789.452764,3.758537437918879,0.0,15125929.4427355,26424682.51903621,0.0,66698640.00000054,0.0,811041.7931761662,706542.3133432143,0.0,1046807.752884414,0.0,0.0,0.0,1180065809.071322,753880648.3372097,0.0,540152800.4883577,0.0,2.115,199395531.5558746,0.0,1.6108065316008844,1.2803603126270164,0.0,0.6335118814322608,0.23385871225871852,0.0
100,User,2606524444.705375,3.693545082081347,0.0,15455006.77143938,26999573.73270567,0.0,66698640.00000054,0.0,828686.6901576077,721913.7361686007,0.0,935544.4316921951,0.0,0.0,0.0,1205739134.1793191,770281956.491897,0.0,482740926.7531727,0.0,2.115,147762427.2809864,0.0,1.6458509837441253,1.3082156290922224,0.0,0.5661770381922647,0.17330143105273588,0.0
100,User,2464547536.975781,3.5155285362217,0.0,15175764.03737503,26511742.51404677,0.0,66698640.00000054,0.0,813713.889403487,708870.1206964377,0.0,832874.9204538873,0.0,0.0,0.0,1183953709.0820735,756364418.7830989,0.0,429763458.9542059,0.0,2.115,94465950.15640296,0.0,1.6161135701434706,1.2845786476003398,0.0,0.5040430359830808,0.11079328249480935,0.0
