cf,El,capex[USD],lcoh[USD/kg],FOM_PV[USD],FOM_WIND[USD],FOM_EL[USD],FOM_UG[USD],H_total[kg],pv_capacity[kW],wind_capacity[kW],pv_capacity_array[kW],wind_capacity_array[kW],el_capacity[kW],ug_capcaity[kgH2],pipe_storage_capacity[kgH2],bat_e_capacity[kWh],bat_p_capacity[kW],pv_cost[USD],wind_cost[USD],el_cost[USD],ug_storage_cost[USD],pipe_storage_cost[USD],bat_cost[USD],load[kg/s],C_trans[USD],C_pipe[USD],,,,,,,,,,
100,Burnie_new2,2212503619.6563,3.22252406409105,0,14462393.4452563,25199661.9359556,2199019.86244628,66698640.0000005,0,775463.455509722,[0.0],[775463.4555097219],673787.752298278,2134970.74023911,0,0,0,0,1128299327.76665,718931531.702263,99305758.7424427,0,0,2.115,258568046.696154,4183418.54495377,,,,,,,,,,
100,Burnie_new2,2185544478.77988,3.19450092932641,0,14512860.4066557,25287198.290654,2300836.68559482,66698640.0000005,0,778169.458801914,[0.0],[778169.4588019145],676128.296541551,2233822.02484934,0,-2.30063939248966E-10,4.37121484573035E-11,0,1132236562.55679,721428892.409835,103903714.881076,0,8.56758109763149E-09,2.115,223800542.892565,4183418.54495377,,,,,,,,,,
100,Burnie_new2,2238052456.96878,3.21685753619025,0,13638127.7578617,23769950.0694834,2076446.01471312,66698640.0000005,0,731266.903906793,[0.0],[731266.903906793],635560.162285653,2015967.00457585,0,-4.82123141409829E-10,0,0,1063993345.18438,678142693.158792,93770434.046657,0,0,2.115,400389535.103319,4183418.54495377,,,,,,,,,,
100,Burnie_new2,2184774628.1529,3.1821645952321,0,14350764.9620492,24743642.7454935,2243893.85674768,66698640.0000005,0,769478.014050895,"[0.0,0,0,0,0, 0.0]","[0.0,146198.582849684,332220.044958286,0,282947.948354366, 8111.437888558688]",661594.725815335,2178537.72499775,0,0,0,0,1119590510.44405,705921572.444962,101332227.956299,0,0,2.115,256151728.626786,4183418.54495377
100,Burnie_new3,3009373906.40875,4.31543613842875,0,17058033.2640721,29701871.7292306,5660371.87474163,66698640.0000005,0,914639.853301451,[0.0],[914639.853301451],794167.693294935,5495506.67450644,0,0,0,0,1330800986.55361,847376928.745696,255617301.773841,0,0,2.115,570781034.915906,32461339.335009,,,,,,,,,,
100,Burnie_new3,2608378316.72047,3.75895664365251,0,15529028.894207,27049770.9261587,4093620.55712622,66698640.0000005,0,832655.704783218,[0.0],[832655.7047832176],723255.907116542,3974388.89041381,0,-2.11664221503518E-10,2.01081010428342E-11,0,1211514050.45958,771714052.89335,184864221.72506,0,3.9411878043955E-09,2.115,426917113.413367,32461339.335009,,,,,,,,,,
100,Burnie_new3,1864536032.29913,2.77907236722994,0,13640635.1876934,23774299.2765892,2088878.09624114,66698640.0000005,0,731401.350546562,[0.0],[731401.3505465619],635676.451245702,2028036.98664189,0,0,0,0,1064188965.04525,678266773.479164,94331855.6645204,0,0,2.115,0,32461339.335009,,,,,,,,,,
100,Burnie_new3,2148519576.04082,3.14748112843314,0,14462393.4452563,25199661.9359556,2199019.86244626,66698640.0000005,0,775463.455509724,[0.0],[775463.4555097235],673787.75229828,2134970.74023909,0,-1.10594555735588E-10,-1.05064827948809E-11,0,1128299327.76665,718931531.702264,99305758.7424418,0,-2.05927062779665E-09,2.115,166306082.290618,32461339.335009,,,,,,,,,,
100,Burnie_new3,2194913220.10127,3.20548894778304,0,14512860.4066557,25287198.290654,2300836.68559483,66698640.0000005,0,778169.458801913,[0.0],[778169.4588019132],676128.29654155,2233822.02484935,0,0,0,0,1132236562.55678,721428892.409834,103903714.881076,0,0,2.115,204891363.423902,32461339.335009,,,,,,,,,,
100,Burnie_new3,1964135508.47922,2.89559725347597,0,13638127.7578617,23769950.0694834,2076446.01471315,66698640.0000005,0,731266.903906793,[0.0],[731266.9039067935],635560.162285653,2015967.00457588,0,0,0,0,1063993345.18438,678142693.158792,93770434.0466585,0,0,2.115,98194665.8237031,32461339.335009,,,,,,,,,,
