cf,El,capex[USD],lcoh[USD/kg],FOM_PV[USD],FOM_WIND[USD],FOM_EL[USD],FOM_UG[USD],H_total[kg],pv_capacity[kW],wind_capacity[kW],el_capacity[kW],ug_capcaity[kgH2],pipe_storage_capacity[kgH2],bat_e_capacity[kWh],bat_p_capacity[kW],pv_cost[USD],wind_cost[USD],el_cost[USD],ug_storage_cost[USD],pipe_storage_cost[USD],bat_cost[USD],load[kg/s],C_trans[USD],C_pipe[USD]
100,KJ248,1924668477.661217,2.869618338391881,0.0,13859717.5522596,24154303.75954324,2825120.523946663,66698640.00000054,0.0,743148.3942230348,645836.9989182686,2742835.460142391,0.0,0.0,0.0,0.0,1081280913.5945158,689108077.8457927,114343685.36350797,0.0,0.0,2.115,-0.0,34691860.15870023
100,KJ249,1873386086.30724,2.794057185179959,0.0,13715953.32944467,23904940.69800134,2190074.829935769,66698640.00000054,0.0,735439.8568066846,639169.5373797151,2126286.242656086,0.0,0.0,0.0,0.0,1070064991.6537261,681993896.384156,88640900.5046192,0.0,0.0,2.115,-0.0,28897535.30109769
100,KJ250,1891044948.455755,2.821375159781226,0.0,13734970.63932582,23937926.75337313,2578748.3849006,66698640.00000054,0.0,736459.5517064786,640051.5174698699,2503639.208641359,0.0,0.0,0.0,0.0,1071548647.7329264,682934969.1403512,104372040.57503618,0.0,0.0,2.115,-0.0,23296693.78354212
100,KJ251,1895814590.286952,2.829295652341897,0.0,13689687.44158349,23859381.78158296,2857749.208857451,66698640.00000054,0.0,734031.4982082299,637951.3845343037,2774513.795007234,0.0,0.0,0.0,0.0,1068015829.8929745,680694127.298102,115664295.95326512,0.0,0.0,2.115,-0.0,17784545.11058848
100,KJ252,1872497994.150906,2.794293297690323,0.0,13421372.67050293,23393982.3138747,3080834.791192443,66698640.00000054,0.0,719644.6472119536,625507.5484993235,2991101.739021789,0.0,0.0,0.0,0.0,1047082961.6933925,667416554.2487782,124693442.64609797,0.0,0.0,2.115,-0.0,13288976.07486135
100,KJ253,1875907823.326676,2.799673559491552,0.0,13346651.66675861,23264376.64502095,3377277.862691529,66698640.00000054,0.0,715638.1590755287,622042.1562839827,3278910.546302455,0.0,0.0,0.0,0.0,1041253521.4548943,663718980.7550095,136691654.05278534,0.0,0.0,2.115,-0.0,10694962.71897089
100,KJ254,1938769922.75689,2.895173410783021,0.0,13728129.3891596,23926060.41380116,3786330.834494256,66698640.00000054,0.0,736092.7286412654,639734.2356631325,3676049.353877919,0.0,0.0,0.0,0.0,1071014920.1730412,682596429.4525623,153247628.88938385,0.0,0.0,2.115,-0.0,11024115.23808975
100,KJ255,1989035821.931216,2.973230809979851,0.0,14169013.73537207,24690786.63152618,3854906.3085259,66698640.00000054,0.0,759732.6399663311,660181.4607359942,3742627.484005728,0.0,0.0,0.0,0.0,1105410991.1510117,704413618.6053058,156023146.73361856,0.0,0.0,2.115,-0.0,14311045.2296063
100,KJ256,2050390325.046584,3.070758918771531,0.0,14738215.68772786,25678083.3225658,4003838.457047642,66698640.00000054,0.0,790252.8518888932,686579.7679830428,3887221.802958876,0.0,0.0,0.0,0.0,1149817899.4983397,732580612.4379066,162051013.7172513,0.0,0.0,2.115,-0.0,2862630.920644666
100,KJ257,2152650133.392015,3.224461184995095,0.0,15529028.89420701,27049770.92615868,4093620.55712617,66698640.00000054,0.0,832655.7047832179,723255.9071165422,3974388.890413757,0.0,0.0,0.0,0.0,1211514050.459582,771714052.8933506,165684846.7221217,0.0,0.0,2.115,-0.0,3650269.419924881
100,KK248,1999277868.119803,2.981206319497719,0.0,14212558.65090851,24766316.50425903,3466585.497293819,66698640.00000054,0.0,762067.4879843703,662200.9760497068,3365616.987663901,0.0,0.0,0.0,0.0,1108808195.017259,706568441.4450371,140306283.58273458,0.0,0.0,2.115,-0.0,36419895.25807473
100,KK249,1931515321.957001,2.881380436925959,0.0,13974300.94949692,24353051.86374823,2760698.838903812,66698640.00000054,0.0,749292.2761124356,651151.1193515569,2680290.134858069,0.0,0.0,0.0,0.0,1090220261.743594,694778244.3481112,111736287.6179292,0.0,0.0,2.115,-0.0,30969508.15156452
100,KK250,1875267892.739664,2.79734959800618,0.0,13399163.44567586,23355459.79284051,3128737.53517367,66698640.00000054,0.0,718453.8040576868,624477.5345679282,3037609.257450165,0.0,0.0,0.0,0.0,1045350284.9039344,666317529.3839793,126632254.19038789,0.0,0.0,2.115,-0.0,25844498.62638476
100,KK251,1882523264.183302,2.807589596592769,0.0,13333897.57066237,23242254.30896623,3422638.975941921,66698640.00000054,0.0,714954.293333103,621450.6499723592,3322950.462079535,0.0,0.0,0.0,0.0,1040258496.7996647,663087843.5205072,138527595.85324183,0.0,0.0,2.115,-0.0,20938022.85890217
100,KK252,1903239156.426248,2.839656052637662,0.0,13372756.49789252,23309656.20404563,3834630.896441757,66698640.00000054,0.0,717037.8819245321,623252.8396803646,3722942.617904618,0.0,5.342084669360989e-10,-2.53749021794647e-10,0.0,1043290118.2001942,665010779.938949,155202521.44690475,0.0,-4.973480827175081e-08,2.115,-0.0,17316665.9868752
100,KK253,1898648405.229783,2.833811697274824,0.0,13253781.48811569,23103290.72518016,4129280.230934592,66698640.00000054,0.0,710658.5248319405,617735.0461278117,4009009.932946206,0.0,0.0,0.0,0.0,1034008153.6304735,659123294.2183751,167128133.2961116,0.0,0.0,2.115,-0.0,15409706.36062559
100,KK254,1912710789.164235,2.855518206166482,0.0,13336044.61667588,23245978.42026956,4252069.88407334,66698640.00000054,0.0,715069.4164437468,621550.2251408973,4128223.188420719,0.0,0.0,0.0,0.0,1040426000.9256516,663194090.2253374,172097911.16766852,0.0,0.0,2.115,-0.0,15848570.56327269
100,KK255,1915328981.6426,2.858588922529372,0.0,13336044.61667589,23245978.42026958,4252069.884073299,66698640.00000054,0.0,715069.4164437474,621550.2251408979,4128223.188420679,0.0,0.0,0.0,0.0,1040426000.9256524,663194090.2253381,172097911.16766685,0.0,0.0,2.115,-0.0,18466763.04163748
100,KK256,1989888017.918537,2.972152124208124,0.0,13842460.36570545,24124370.68726363,4609264.253131762,66698640.00000054,0.0,742223.0759091397,645036.6493920756,4475013.837992002,0.0,0.0,0.0,0.0,1079934575.4477983,688254104.9013447,186554965.37227136,0.0,0.0,2.115,-0.0,22516471.64037036
100,KK257,2212302721.995162,3.31616015254166,0.0,15569553.59011577,27120062.14355614,5432574.829288939,66698640.00000054,0.0,834828.6107300683,725135.3514319825,5274344.494455281,0.0,0.0,0.0,0.0,1214675628.6122494,773719419.9779253,219877566.89620623,0.0,0.0,2.115,-0.0,4072994.876091762
100,KK258,2533940639.533232,3.794946479321661,0.0,18363024.35476304,31965415.24018124,4567469.073205326,66698640.00000054,0.0,984612.5659390371,854690.2470636695,4434435.993403229,0.0,0.0,0.0,0.0,1432611283.441299,911954493.6169354,184863350.85079834,0.0,0.0,2.115,-0.0,4813636.429554792
100,KK259,2848221442.340487,4.262516435149432,0.0,20457219.51474145,35597855.26130311,5441958.249947278,66698640.00000054,0.0,1096901.850656378,951814.3117995486,5283454.611599299,0.0,0.0,0.0,0.0,1595992192.7050302,1015585870.6901183,220257350.657747,0.0,0.0,2.115,-0.0,5650743.326217374
100,KL254,1918404545.32044,2.866535844030399,0.0,13303180.72855685,23188975.08804217,4631394.70755465,66698640.00000054,0.0,713307.2776706084,620026.0718727853,4496499.716072476,0.0,0.0,0.0,0.0,1037862089.0107352,661567818.688262,187450671.4832259,0.0,0.0,2.115,-0.0,20589070.14832559
100,KL255,1933465629.285974,2.889615890767723,0.0,13382601.90703959,23326733.3413123,4775443.832974581,66698640.00000054,0.0,717565.7859002462,623709.4476286713,4636353.235897651,0.0,0.0,0.0,0.0,1044058218.4848583,665497980.6197922,193280903.40936515,0.0,0.0,2.115,-0.0,22691699.743365
100,KL256,1960613325.548132,2.930078696848876,0.0,13560265.72693341,23634896.20121231,4864756.10376514,66698640.00000054,0.0,727091.9960822203,631949.0962890991,4723064.178412758,0.0,2.504842201083094e-10,0.0,0.0,1057918854.2996306,674289685.7404687,196895720.58400014,0.0,0.0,2.115,-0.0,26115946.74661428
100,KL257,2090129941.598036,3.122880903409633,0.0,14376756.33261863,25051121.97120769,5360024.867143078,66698640.00000054,0.0,770871.653223519,669816.0954868367,5203907.638002988,0.0,0.0,0.0,0.0,1121618255.44022,714693773.8844548,216941185.96150827,0.0,0.0,2.115,-0.0,30153961.99199254
100,KL258,2441189046.425182,3.64904718455481,0.0,17058033.26407207,29701871.72923059,5660371.874741648,66698640.00000054,0.0,914639.8533014514,794167.6932949356,5495506.674506455,0.0,0.0,4.423782229423523e-10,0.0,1330800986.5536118,847376928.7456963,229097404.9424761,0.0,8.670613169670104e-08,2.115,-0.0,35057514.26734645
100,KL259,2625119278.274753,3.932839638080593,0.0,18723677.11778537,32590977.53502676,5645934.490050731,66698640.00000054,0.0,1003950.515698947,871416.5116317315,5481489.796165759,0.0,0.0,0.0,0.0,1460748000.3419678,929801417.9110576,228513067.4748965,0.0,0.0,2.115,-0.0,6046550.41957627
