Variable,Value
bat_e_1412,0.0
bat_e_1413,0.0
bat_e_1414,0.0
bat_e_1415,2.9431759e-11
bat_e_1416,0.0
bat_e_1417,0.0
bat_e_1418,0.0
bat_e_1419,0.0
bat_e_142,0.0
bat_e_1420,0.0
bat_e_1421,0.0
bat_e_1422,0.0
bat_e_1423,0.0
bat_e_1424,0.0
bat_e_1425,0.0
bat_e_1426,0.0
bat_e_1427,0.0
bat_e_1428,0.0
bat_e_1429,0.0
bat_e_143,0.0
bat_e_1430,0.0
bat_e_1431,0.0
bat_e_1432,0.0
bat_e_1433,0.0
bat_e_1434,0.0
bat_e_1435,0.0
bat_e_1436,0.0
bat_e_1437,0.0
bat_e_1438,0.0
bat_e_1439,0.0
bat_e_144,0.0
bat_e_1440,0.0
bat_e_1441,0.0
bat_e_1442,0.0
bat_e_1443,0.0
bat_e_1444,0.0
bat_e_1445,0.0
bat_e_1446,0.0
bat_e_1447,0.0
bat_e_1448,0.0
bat_e_1449,0.0
bat_e_145,0.0
bat_e_1450,0.0
bat_e_1451,0.0
bat_e_1452,0.0
bat_e_1453,0.0
bat_e_1454,0.0
bat_e_1455,0.0
bat_e_1456,0.0
bat_e_1457,0.0
bat_e_1458,0.0
bat_e_1459,0.0
bat_e_146,0.0
bat_e_1460,0.0
bat_e_1461,0.0
bat_e_1462,0.0
bat_e_1463,0.0
bat_e_1464,0.0
bat_e_1465,0.0
bat_e_1466,0.0
bat_e_1467,0.0
bat_e_1468,0.0
bat_e_1469,0.0
bat_e_147,0.0
bat_e_1470,0.0
bat_e_1471,0.0
bat_e_1472,0.0
bat_e_1473,0.0
bat_e_1474,0.0
bat_e_1475,0.0
bat_e_1476,0.0
bat_e_1477,0.0
bat_e_1478,0.0
bat_e_1479,0.0
bat_e_148,0.0
bat_e_1480,0.0
bat_e_1481,0.0
bat_e_1482,0.0
bat_e_1483,0.0
bat_e_1484,0.0
bat_e_1485,0.0
bat_e_1486,0.0
bat_e_1487,0.0
bat_e_1488,0.0
bat_e_1489,0.0
bat_e_149,0.0
bat_e_1490,0.0
bat_e_1491,0.0
bat_e_1492,0.0
bat_e_1493,0.0
bat_e_1494,0.0
bat_e_1495,0.0
bat_e_1496,0.0
bat_e_1497,0.0
bat_e_1498,0.0
bat_e_1499,0.0
bat_e_15,0.0
bat_e_150,0.0
bat_e_1500,0.0
bat_e_1501,0.0
bat_e_1502,0.0
bat_e_1503,0.0
bat_e_1504,0.0
bat_e_1505,0.0
bat_e_1506,0.0
bat_e_1507,0.0
bat_e_1508,0.0
bat_e_1509,0.0
bat_e_151,0.0
bat_e_1510,0.0
bat_e_1511,0.0
bat_e_1512,0.0
bat_e_1513,0.0
bat_e_1514,0.0
bat_e_1515,0.0
bat_e_1516,0.0
bat_e_1517,0.0
bat_e_1518,0.0
bat_e_1519,0.0
bat_e_152,0.0
bat_e_1520,0.0
bat_e_1521,0.0
bat_e_1522,0.0
bat_e_1523,0.0
bat_e_1524,0.0
bat_e_1525,0.0
bat_e_1526,0.0
bat_e_1527,0.0
