,pv_pout,wind_pout,curtail_p,bat_pin,bat_pout,el_pin,comp1_hflow,comp1_pin,comp2_hflow,comp2_pin,res_hout,pipe_storage_hout,ug_storage_hout,ug_storage_level,pipe_storage_level,reserve_h_level,bat_e,LOAD,t,time
2498,-0.0,65409.43308995741,0.0,0.0,0.0,64458.90957565649,0.318113625937391,950.5235143009241,0.0,0.0,0.0,0.318113625937391,4.681886374062609,491413.0303194794,0.0,-0.0,0.0,5.0,2498,2021-04-15 02:00:00
2499,-0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.0,474558.2393728539,0.0,-0.0,0.0,5.0,2499,2021-04-15 03:00:00
2500,-0.0,7121.613108675661,0.0,0.0,0.0,7018.12252024264,0.03463540442872143,103.4905884330196,0.0,0.0,0.0,0.03463540442872143,4.96536459557128,456558.2393728539,0.0,-0.0,0.0,5.0,2500,2021-04-15 04:00:00
2501,-0.0,106550.1282143757,0.0,0.0,0.0,105001.7521234188,0.5181981562774473,1548.376090957013,0.0,0.0,0.0,0.5181981562774473,4.481801843722553,438682.9268287973,0.0,-0.0,0.0,5.0,2501,2021-04-15 05:00:00
2502,178770.5902321481,373189.5368406112,0.0,0.0,0.0,543939.0962373806,2.684414603540371,8021.030835378632,0.0,0.0,0.0,2.684414603540372,2.315585396459628,422548.4401913962,0.0,-0.0,0.0,5.0,2502,2021-04-15 06:00:00
2503,228077.3242373977,189335.4525778973,0.0,0.0,0.0,411346.9749761792,2.030054163024009,6065.801839115738,0.0,0.0,0.0,2.030054163024009,2.969945836975991,414212.3327641416,0.0,-0.0,0.0,5.0,2503,2021-04-15 07:00:00
2504,293694.5410956718,28860.43981901071,0.0,0.0,0.0,317867.6433315448,1.568720744022005,4687.337583137753,0.0,0.0,0.0,1.568720744022005,3.431279255977995,403520.527751028,0.0,-0.0,0.0,5.0,2504,2021-04-15 08:00:00
2505,283667.6837901547,-0.0,0.0,0.0,0.0,279545.4526232984,1.379595437368224,4122.231166856252,0.0,0.0,0.0,1.379595437368224,3.620404562631776,391167.9224295072,0.0,-0.0,0.0,5.0,2505,2021-04-15 09:00:00
2506,338517.0951543082,-0.0,0.0,0.0,0.0,333597.797680892,1.646351229389625,4919.297473416198,0.0,0.0,0.0,1.646351229389625,3.353648770610375,378134.4660040328,0.0,-0.0,0.0,5.0,2506,2021-04-15 10:00:00
2507,510022.5440566429,-0.0,0.0,0.0,0.0,502610.9460951884,2.480454471704963,7411.597961454429,0.0,0.0,0.0,2.480454471704963,2.519545528295038,366061.3304298355,0.0,-0.0,0.0,5.0,2507,2021-04-15 11:00:00
2508,557914.7406109222,-0.0,0.0,0.0,0.0,549807.1779112663,2.713374397475228,8107.562699655981,0.0,0.0,0.0,2.713374397475228,2.286625602524772,356990.9665279734,0.0,-0.0,0.0,5.0,2508,2021-04-15 12:00:00
