,pv_pout,wind_pout,curtail_p,bat_pin,bat_pout,el_pin,comp1_hflow,comp1_pin,comp2_hflow,comp2_pin,res_hout,pipe_storage_hout,ug_storage_hout,ug_storage_level,pipe_storage_level,reserve_h_level,bat_e,LOAD,t,time
4364,-0.0,208780.6247099823,0.0,0.0,0.0,205746.6449957055,1.015388123921277,3033.979714276774,0.0,0.0,0.0,1.015388123921277,3.984611876078723,7945962.465882798,0.0,-0.0,0.0,5.0,4364,2021-07-01 20:00:00
4365,-0.0,577577.4043947905,0.0,0.0,0.0,569184.105779114,2.809002214081921,8393.298615676778,0.0,0.0,0.0,2.809002214081921,2.190997785918079,7931617.863128914,0.0,-0.0,0.0,5.0,4365,2021-07-01 21:00:00
4366,-0.0,1044095.177454602,0.0,0.0,0.0,1028810.022641088,5.077319626683313,15171.03104452974,0.07731962668331356,114.1237689845708,0.0,5.0,0.0,7923730.271099609,0.0,-0.0,0.0,5.0,4366,2021-07-01 22:00:00
4367,-0.0,1362521.608380541,0.0,0.0,0.0,1340372.587915797,6.614923939234758,19765.39273043346,1.614923939234758,2383.627734310503,0.0,5.0,0.0,7924008.62175567,0.0,-0.0,0.0,5.0,4367,2021-07-01 23:00:00
4368,-0.0,1758764.066124529,0.0,0.0,0.0,1728073.810601631,8.528283047244367,25482.50974516617,3.528283047244366,5207.745777732684,0.0,5.0,0.0,7929822.347936913,0.0,-0.0,0.0,5.0,4368,2021-07-02 00:00:00
4369,-0.0,1758764.066124529,0.0,0.0,0.0,1728073.810601631,8.528283047244367,25482.50974516617,3.528283047244366,5207.745777732684,0.0,5.0,0.0,7942524.166906995,0.0,-0.0,0.0,5.0,4369,2021-07-02 01:00:00
4370,-0.0,1758764.066124529,0.0,8.794631157789914e-11,0.0,1728073.81060163,8.528283047244368,25482.50974516617,3.528283047244368,5207.745777732687,0.0,5.0,0.0,7955225.985877074,0.0,-0.0,0.0,5.0,4370,2021-07-02 02:00:00
4371,-0.0,1758764.066124529,0.0,0.0,7.937154619905398e-11,1728073.81060163,8.528283047244367,25482.50974516617,3.528283047244366,5207.745777732684,0.0,5.0,0.0,7967927.804847155,0.0,-0.0,8.354899599900418e-11,5.0,4371,2021-07-02 03:00:00
4372,-0.0,1758764.066124529,0.0,0.0,0.0,1728073.810601631,8.528283047244367,25482.50974516617,3.528283047244366,5207.745777732684,0.0,5.0,0.0,7980629.623817233,0.0,-0.0,0.0,5.0,4372,2021-07-02 04:00:00
4373,-0.0,1758764.066124529,0.0,0.0,0.0,1728073.810601631,8.528283047244367,25482.50974516617,3.528283047244366,5207.745777732684,0.0,5.0,0.0,7993331.442787315,0.0,-0.0,0.0,5.0,4373,2021-07-02 05:00:00
4374,-0.0,1758764.066124529,0.0,0.0,0.0,1728073.810601631,8.528283047244367,25482.50974516617,3.528283047244366,5207.745777732684,0.0,5.0,0.0,8006033.261757393,0.0,-0.0,0.0,5.0,4374,2021-07-02 06:00:00
4375,116596.6665135042,1758764.066124529,116596.6665135037,2.696283891001941e-10,1.868250450387142e-11,1728073.810601631,8.528283047244367,25482.50974516617,3.528283047244367,5207.745777732684,0.0,5.0,0.0,8018735.080727476,0.0,-0.0,0.0,5.0,4375,2021-07-02 07:00:00
4376,877142.2428564924,1476434.318910192,594812.495642155,1.868250450387141e-11,0.0,1728073.81060163,8.528283047244367,25482.50974516617,3.528283047244368,5207.745777732685,0.0,5.0,0.0,8031436.899697553,0.0,-0.0,2.364811754305829e-10,5.0,4376,2021-07-02 08:00:00
4377,965740.4680124404,635949.6675904883,0.0,0.0,1.868250450387142e-11,1574385.699383019,7.76981098116267,23216.19521171405,2.769810981162669,4088.2410081961,0.0,5.0,0.0,8044138.718667635,0.0,-0.0,2.542295547092607e-10,5.0,4377,2021-07-02 09:00:00
